"ranking10ChineseOriginData","ranking10BaiduChineseSentimentAnalysisPositiveProbabilityBaseOnChineseOriginData"
"2013.12.29",1
"2bmeiwenhua",1
"haonimei",1
"hehehe",1
"lanlanlan",1
"lansile",1
"nmsl",1
"shajibapolan",1
"shuoshenmaasd",1
"一个一流的导演一个一流的编剧拍出一个三流导演的作品，你们辛苦了。",0.973563
"一分给郑恺。主要长得不错，全程看帅哥了",0.934468
"不知道是我们看电影品味高了还是 冯导的水平降了。像海豚湾、中国合伙人，疯狂石头这类电影。看完在心里有些心酸感动。像指环王、阿凡达、少年派，看后是视觉盛宴。  .冯导对术的追求有些走火入魔了，却忘了电影的道。 有道无术，术尚可求，有术无道，至于术。 看来人的能力就是逆水行舟，不进则退。",0.961223
"不错",0.914388
"人生难得看电影看到睡着.值得纪念的烂片.",0.909892
"全场笑得有点沉重，旧瓶装新酒，不怎么高明。值得一看的也只有最后的道歉。还会有多少人这样切肤地体会到土地，水源，空气，对于人类生存和发展的意义。地球母亲还会给我们多少赎罪的机会~~",0.980931
"冯小刚收了好多厂商的广告费，打算拍个电影都装进去，就去找王朔写本子，关键王朔也江郎才尽，说干脆炒冷饭拍个甲方乙方2吧，于是冯导找了一帮华谊股东来捧场，因为片酬给的少，所以每个人都是客串，不过片酬不重要，大牌云集票房就有保证，票房高了股票就涨了。于是，每个人都高兴的盆满钵满。",0.97238
"冯小刚的哲学观就是所有人都要吃饭拉屎，所以最高贵伟大的就是活着，他认为艺术只要脱离了低级趣味就浮夸。我一直认为不懂艺术可以，但至少要有敬畏之心。",0.917477
"几个朋友一起去看，大家在不同的时间点睡着了，错过了一部分故事。散场后相互交流了一下，补了自己中间错过的故事。冯导别骂，谢谢你的私人定制安眠药。",0.957635
"呵呵呵呵~这片绝了~冯导肯定拍的特爽~拿这个电影给了全中国人民一个FUCK",0.933194
"哈哈。",0.920466
"哈哈哈哈哈哈哈哈哈哈哈跟你一起看了一部烂片，希望我们以后都开心快乐的生活着。很高兴认识你，希望你也这么想。：）",0.969658
"就是甲方乙方的恶俗炒冷饭，没有了当年的感动，取而代之的都是一些不痛不痒般的痴人说梦。最后竟然还要整成公益片的风格，冯导您还真是脱俗了，直接进入烂片的境地，希望您以后还是做老本行，拍喜剧，拍真正能让人开怀大笑的喜剧。",0.913384
"强烈推荐大家去看，冯导倾情自黑，专治失眠多梦！！！",0.921719
"很喜欢呢",0.93616
"很无聊，早先的甲方乙方还关心些小老百姓的故事，贴心煽情！如今私人定制就是一场豪华私人晚宴，充斥着无病呻吟与俗气！",0.949828
"很标准的烂片，稍微能留下点印象的就是董冬冬写的插曲和片尾无厘头的道歉了。大二分专业宣讲的时候，听了孙教授的演说，一度一腔热血的想报生态学，后来地质学野外实习期间，深刻意识到多少个生态学家也挽回不了现状，还是老老实实的回去学着自认为高大上的管理学了~~",0.924348
"想法很好，就是没拍好",0.932531
"感谢拉着我进行国粹文化交流的我家老爷子老佛爷 感谢电视台大过年的没事一直放电影儿不然我真的是不会看这电影儿 我只是桌儿上无聊的时不时瞅两眼都觉得尴尬癌要犯了 江郎才已尽 这是何必呢",0.9173
"我一向喜爱冯氏电影，但在这部电影中，我看到了太多违做人基本该有的东西，电影，在讲述故事同时，也肩负着传播起码价值观正确的正能量。我希望这是中国的导演应该有的操守",0.916784
"我记得我当时在电影院睡的特别香。感谢这部电影治好我的失眠",0.959991
"把造梦当做嬉笑怒骂的场所，用滑稽趣味的台词进行讽刺，紧凑的剧情和风格各异的角色设定，小巧灵活的模块化架构使得多元全面得以实现，整体而言是一部不错的小成本网络平台情景喜剧。哦不好意思，导演说这是一部电影？好吧这部作品侮辱了电影二字。",0.967128
"新年的第一场电影，背景音乐节奏感很棒，主角黑色套装不错，其他就没啥看点了，个人不推荐进影院，还是在家对着电脑看看就好，心情好所以还是来颗星.",0.942203
"本人在墨尔本上学长期做代购，婴幼儿奶粉（爱他美，贝拉米，惠氏s26，亨氏，A2，可瑞康），女士护肤化妆品（茱莉蔻，伊索，倩碧，欧舒丹，兰蔻等各大品牌），雪地靴，保健营养品，各品牌奢侈品等其他商品，有意者联系哦。微信2868143910.也可以豆邮。澳洲正规商场药店采购，放心！！",0.998203
"李小璐身材不错",0.909631
"某些菊花缺榴莲的人喜欢的电影呵呵",0.915245
"某年，张大千家遇大风暴，众人皆紧闭门窗，唯大师自将宅子前后门打开，暴风过境，各家多有损毁，唯大师家宅完好无缺。后有人请教奥妙，大师言：他强由他强，清风拂山岗，他横由他横，明月照大江。世间诸事，敞开心扉，顺其自然！——这是一个装B的故事，送给怒斥影评的冯导。",0.925749
"点子不错，不愧是王朔。故事太烂。就记得李小璐豁豁牙造型了。烂尾。",0.934132
"甲方乙方玩剩下的。要是我是其中客户，不仅根本不觉得过瘾而且还会非常出戏。最后一段环保，什么跟什么啊！",0.927856
"电影没啥好说的，差点我都睡着了，不过影片让我知道，海南风景.确实不错，西湖边全是富人别墅。",0.93429
"睡着了 李小璐为啥整容呢 以前多好看啊……葛优演技很好",0.941509
"睡着的次数比笑的次数还多外加内心无数次呐喊WTF！",0.947709
"私人定制太好了，帮我第一次在电影院入眠～",0.915336
"第一个故事 批判国家当官的容易腐败 .　　第二个故事 批判有钱人上流人反而觉得农民的生活不俗 .　　第三个故事 批判普通人第一个直觉就是想要有钱 .　　纵观整个影片，引人反思和解决办法性的内容较少，不成文的跳跃让整部影片很牵强，如果单独每个故事，每个细节，以及最后对环境保护的声讨，那都是",0.928948
"第一次在温市看中文电影，喜欢大家嘻嘻哈哈一起笑，四季小朋友坐在身边，看电影还是为了个气氛嘛~",0.960492
"自认并非豆瓣er。但这里足够丰富和有趣。尽管冯导开炮了，但还是良心打分。电影就俩字，呵呵。",0.947659
"那天我们都喝醉了，也都哭了，互相说了许多肝胆相照的话，真是难忘的一夜 1997年过去了，我很怀念它",0.946042
"闲，空虚。恐怕就是冯小刚，王朔这以一类人真实写照了。他们玩世不恭，愤世嫉俗，用讽刺的对象衬托自己，拿偶尔的虔诚麻醉自己。对现实愤愤不平，对未来又不抱希望。享受着普通人羡慕的生活，迷失，然后又怪罪于社会。失了平常心。",0.932465
"顶住全场压力，完成首次在影院边看电影边吃周黑鸭卤鸭翅的壮举，只为让平谈无奇的电影观看时间变得稍微有点儿滋有点儿味...",0.943724
